,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-checker,tsCAP1,0.006986005940188554
1,sub-01,ses-01,run-01,task-checker,tsCAP2,-0.052876928694034764
2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.1765168247010543
3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.1925155188049449
4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.15361519958020559
5,sub-01,ses-01,run-01,task-checker,tsCAP6,0.17773808889816967
6,sub-01,ses-01,run-01,task-checker,tsCAP7,-0.15560323096513162
7,sub-01,ses-01,run-01,task-checker,tsCAP8,-0.17598200061146024
8,sub-02,ses-01,run-01,task-checker,tsCAP1,-0.05167133286742703
9,sub-02,ses-01,run-01,task-checker,tsCAP2,-0.14906578434227552
10,sub-02,ses-01,run-01,task-checker,tsCAP3,-0.046637666917342245
11,sub-02,ses-01,run-01,task-checker,tsCAP4,-0.07527884806889382
12,sub-02,ses-01,run-01,task-checker,tsCAP5,-0.00992218515290995
13,sub-02,ses-01,run-01,task-checker,tsCAP6,0.02372299657831447
14,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.11617266793785791
15,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.11203757639754715
16,sub-05,ses-02,run-01,task-checker,tsCAP1,0.17022351862981913
17,sub-05,ses-02,run-01,task-checker,tsCAP2,0.22873918263781848
18,sub-05,ses-02,run-01,task-checker,tsCAP3,0.3470743575501622
19,sub-05,ses-02,run-01,task-checker,tsCAP4,0.31675951195475777
20,sub-05,ses-02,run-01,task-checker,tsCAP5,0.0848286858312338
21,sub-05,ses-02,run-01,task-checker,tsCAP6,0.052269317608098435
22,sub-05,ses-02,run-01,task-checker,tsCAP7,-0.22169480763455138
23,sub-05,ses-02,run-01,task-checker,tsCAP8,-0.2291353630800324
24,sub-06,ses-01,run-01,task-checker,tsCAP1,0.08409849051828738
25,sub-06,ses-02,run-01,task-checker,tsCAP1,-0.0636637006341906
26,sub-06,ses-01,run-01,task-checker,tsCAP2,0.056150670092882604
27,sub-06,ses-02,run-01,task-checker,tsCAP2,-0.10454465052430666
28,sub-06,ses-01,run-01,task-checker,tsCAP3,0.03475783540981404
29,sub-06,ses-02,run-01,task-checker,tsCAP3,0.0807546971086575
30,sub-06,ses-01,run-01,task-checker,tsCAP4,0.031502597382839684
31,sub-06,ses-02,run-01,task-checker,tsCAP4,0.045144201528364826
32,sub-06,ses-01,run-01,task-checker,tsCAP5,0.12983402716577666
33,sub-06,ses-02,run-01,task-checker,tsCAP5,0.1730085004969293
34,sub-06,ses-01,run-01,task-checker,tsCAP6,0.11040870408217748
35,sub-06,ses-02,run-01,task-checker,tsCAP6,0.15222911582743998
36,sub-06,ses-01,run-01,task-checker,tsCAP7,0.060890532861151266
