,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-rest,tsCAP1,0.1719654913771056
1,sub-01,ses-01,run-01,task-rest,tsCAP2,0.21599992654975483
2,sub-01,ses-01,run-01,task-rest,tsCAP3,0.07522636830947392
3,sub-01,ses-01,run-01,task-rest,tsCAP4,0.09301170630003544
4,sub-01,ses-01,run-01,task-rest,tsCAP5,0.3677913859855987
5,sub-01,ses-01,run-01,task-rest,tsCAP6,0.46209441655952926
6,sub-01,ses-01,run-01,task-rest,tsCAP7,0.3906325249174688
7,sub-01,ses-01,run-01,task-rest,tsCAP8,0.40646685669987004
8,sub-02,ses-01,run-01,task-rest,tsCAP1,0.0565878078847532
9,sub-02,ses-01,run-01,task-rest,tsCAP2,0.05070726691604998
10,sub-02,ses-01,run-01,task-rest,tsCAP3,-0.07711690707536502
11,sub-02,ses-01,run-01,task-rest,tsCAP4,-0.09627639182719312
12,sub-02,ses-01,run-01,task-rest,tsCAP5,0.12369569434604258
13,sub-02,ses-01,run-01,task-rest,tsCAP6,0.10265320185879429
14,sub-02,ses-01,run-01,task-rest,tsCAP7,-0.10937397528033402
15,sub-02,ses-01,run-01,task-rest,tsCAP8,-0.07697398549338144
16,sub-06,ses-01,run-01,task-rest,tsCAP1,-0.047000014013767126
17,sub-06,ses-02,run-01,task-rest,tsCAP1,0.04332608279510136
18,sub-06,ses-01,run-01,task-rest,tsCAP2,-0.03292225060415644
19,sub-06,ses-02,run-01,task-rest,tsCAP2,0.04487228151109908
20,sub-06,ses-01,run-01,task-rest,tsCAP3,0.18736450863169568
21,sub-06,ses-02,run-01,task-rest,tsCAP3,-0.022693788099375174
22,sub-06,ses-01,run-01,task-rest,tsCAP4,0.19542944117760244
23,sub-06,ses-02,run-01,task-rest,tsCAP4,-0.020068590341168778
24,sub-06,ses-01,run-01,task-rest,tsCAP5,-0.04402142099335897
25,sub-06,ses-02,run-01,task-rest,tsCAP5,0.1282461315485818
26,sub-06,ses-01,run-01,task-rest,tsCAP6,-0.055538620521569396
27,sub-06,ses-02,run-01,task-rest,tsCAP6,0.10606776496377623
