,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-checker,tsCAP1,0.6518094239561055
1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.6264080697950463
2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.43788968289284264
3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.4015973125560477
4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.47874585136664455
5,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4811585267580994
6,sub-01,ses-01,run-01,task-checker,tsCAP7,0.13427736180879865
7,sub-01,ses-01,run-01,task-checker,tsCAP8,0.16150765871437303
8,sub-02,ses-01,run-01,task-checker,tsCAP1,0.37450224438566043
9,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3759629159650702
10,sub-02,ses-01,run-01,task-checker,tsCAP3,0.4601738618209986
11,sub-02,ses-01,run-01,task-checker,tsCAP4,0.44517277055894433
12,sub-02,ses-01,run-01,task-checker,tsCAP5,0.34284052985271024
13,sub-02,ses-01,run-01,task-checker,tsCAP6,0.36699192056664676
14,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.023941915078940498
15,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.03364732438577775
16,sub-03,ses-01,run-01,task-checker,tsCAP1,0.9644120865444332
17,sub-03,ses-01,run-01,task-checker,tsCAP2,0.9342770544131197
18,sub-03,ses-01,run-01,task-checker,tsCAP3,0.22862104893846974
19,sub-03,ses-01,run-01,task-checker,tsCAP4,0.12908836161389836
20,sub-03,ses-01,run-01,task-checker,tsCAP5,0.9247408647422107
21,sub-03,ses-01,run-01,task-checker,tsCAP6,0.8533448482060726
22,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.8755932514250466
23,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.9444240278001709
24,sub-05,ses-02,run-01,task-checker,tsCAP1,0.015378448260624839
25,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.05226144948533937
26,sub-05,ses-02,run-01,task-checker,tsCAP3,0.06107220876736531
27,sub-05,ses-02,run-01,task-checker,tsCAP4,0.04777529337771408
28,sub-05,ses-02,run-01,task-checker,tsCAP5,-0.398589708437046
29,sub-05,ses-02,run-01,task-checker,tsCAP6,-0.44897554730746003
30,sub-05,ses-02,run-01,task-checker,tsCAP7,0.08362211125283353
31,sub-05,ses-02,run-01,task-checker,tsCAP8,0.0701552187882013
32,sub-06,ses-01,run-01,task-checker,tsCAP1,0.3571043371741002
33,sub-06,ses-02,run-01,task-checker,tsCAP1,0.36770522963585295
34,sub-06,ses-01,run-01,task-checker,tsCAP2,0.38545906037208894
35,sub-06,ses-02,run-01,task-checker,tsCAP2,0.32599327562954217
36,sub-06,ses-01,run-01,task-checker,tsCAP3,0.27653266727833703
37,sub-06,ses-02,run-01,task-checker,tsCAP3,-0.1353977124186224
38,sub-06,ses-01,run-01,task-checker,tsCAP4,0.2908102585813199
39,sub-06,ses-02,run-01,task-checker,tsCAP4,-0.13845165667713463
40,sub-06,ses-01,run-01,task-checker,tsCAP5,0.13432520768081335
41,sub-06,ses-02,run-01,task-checker,tsCAP5,0.2777387444073315
42,sub-06,ses-01,run-01,task-checker,tsCAP6,0.19331657205897076
43,sub-06,ses-02,run-01,task-checker,tsCAP6,0.26254163044968254
44,sub-06,ses-01,run-01,task-checker,tsCAP7,0.023902929533002493
45,sub-06,ses-02,run-01,task-checker,tsCAP7,0.19863764708044793
46,sub-06,ses-01,run-01,task-checker,tsCAP8,0.08788815130860021
47,sub-06,ses-02,run-01,task-checker,tsCAP8,0.21710227603241142
48,sub-07,ses-01,run-01,task-checker,tsCAP1,0.21875093120781217
49,sub-07,ses-02,run-01,task-checker,tsCAP1,0.3412030808451101
50,sub-07,ses-01,run-01,task-checker,tsCAP2,0.28454689528803534
