,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-tp,tsCAP1,0.08924574140156796
1,sub-01,ses-01,run-01,task-tp,tsCAP2,0.09864065646106766
2,sub-01,ses-01,run-01,task-tp,tsCAP3,0.2532762701635268
3,sub-01,ses-01,run-01,task-tp,tsCAP4,0.2072126271784352
4,sub-01,ses-01,run-01,task-tp,tsCAP5,0.21044744035979068
5,sub-01,ses-01,run-01,task-tp,tsCAP6,0.23362392608918317
6,sub-01,ses-01,run-01,task-tp,tsCAP7,0.4014791265468304
7,sub-01,ses-01,run-01,task-tp,tsCAP8,0.40923368188296316
8,sub-02,ses-01,run-01,task-tp,tsCAP1,0.1214785627361207
9,sub-02,ses-01,run-01,task-tp,tsCAP2,0.13577621600152076
10,sub-02,ses-01,run-01,task-tp,tsCAP3,0.023618007097422702
11,sub-02,ses-01,run-01,task-tp,tsCAP4,0.016149060155216895
12,sub-02,ses-01,run-01,task-tp,tsCAP5,0.11372979615699895
13,sub-02,ses-01,run-01,task-tp,tsCAP6,0.1243023068330597
14,sub-02,ses-01,run-01,task-tp,tsCAP7,0.14499960784149993
15,sub-02,ses-01,run-01,task-tp,tsCAP8,0.12503785450989366
16,sub-03,ses-01,run-01,task-tp,tsCAP1,0.3112100589849555
17,sub-03,ses-01,run-01,task-tp,tsCAP2,0.34487729436651143
18,sub-03,ses-01,run-01,task-tp,tsCAP3,0.061290335931988314
19,sub-03,ses-01,run-01,task-tp,tsCAP4,0.045189281011298585
20,sub-03,ses-01,run-01,task-tp,tsCAP5,0.529077879208302
21,sub-03,ses-01,run-01,task-tp,tsCAP6,0.5149258935779689
22,sub-03,ses-01,run-01,task-tp,tsCAP7,0.31003802127644514
23,sub-03,ses-01,run-01,task-tp,tsCAP8,0.3548907956269939
24,sub-04,ses-01,run-01,task-tp,tsCAP1,0.005150443744027792
25,sub-04,ses-01,run-01,task-tp,tsCAP2,0.008857830343960833
26,sub-04,ses-01,run-01,task-tp,tsCAP3,-0.09171849939115638
27,sub-04,ses-01,run-01,task-tp,tsCAP4,-0.13462770872042357
28,sub-04,ses-01,run-01,task-tp,tsCAP5,0.06756008348154083
29,sub-04,ses-01,run-01,task-tp,tsCAP6,0.06963713621747902
30,sub-04,ses-01,run-01,task-tp,tsCAP7,0.09958974685916516
31,sub-04,ses-01,run-01,task-tp,tsCAP8,0.10669683228778354
32,sub-05,ses-01,run-01,task-tp,tsCAP1,0.1753553254320464
33,sub-05,ses-01,run-01,task-tp,tsCAP2,0.25693113134470885
34,sub-05,ses-01,run-01,task-tp,tsCAP3,0.07768382681452198
35,sub-05,ses-01,run-01,task-tp,tsCAP4,0.03688494600493925
36,sub-05,ses-01,run-01,task-tp,tsCAP5,0.29435212227377777
37,sub-05,ses-01,run-01,task-tp,tsCAP6,0.32842061969917835
38,sub-05,ses-01,run-01,task-tp,tsCAP7,0.1813955583636636
39,sub-05,ses-01,run-01,task-tp,tsCAP8,0.23888206593315417
40,sub-06,ses-01,run-01,task-tp,tsCAP1,0.06939426179649054
41,sub-06,ses-01,run-01,task-tp,tsCAP2,0.09526166160463041
42,sub-06,ses-01,run-01,task-tp,tsCAP3,0.22756769616707873
43,sub-06,ses-01,run-01,task-tp,tsCAP4,0.25522084797283684
44,sub-06,ses-01,run-01,task-tp,tsCAP5,0.02342256588838801
45,sub-06,ses-01,run-01,task-tp,tsCAP6,0.060375819075465076
46,sub-06,ses-01,run-01,task-tp,tsCAP7,0.38230399574425156
47,sub-06,ses-01,run-01,task-tp,tsCAP8,0.3726188871204187
48,sub-07,ses-01,run-01,task-tp,tsCAP1,0.10734859058118493
49,sub-07,ses-01,run-01,task-tp,tsCAP2,0.05691084112287384
50,sub-07,ses-01,run-01,task-tp,tsCAP3,-0.049598882223515384
51,sub-07,ses-01,run-01,task-tp,tsCAP4,-0.056210939359083396
52,sub-07,ses-01,run-01,task-tp,tsCAP5,0.3898649943336427
53,sub-07,ses-01,run-01,task-tp,tsCAP6,0.37395733474840104
54,sub-07,ses-01,run-01,task-tp,tsCAP7,0.4269949709860957
55,sub-07,ses-01,run-01,task-tp,tsCAP8,0.4364662156341239
56,sub-08,ses-01,run-01,task-tp,tsCAP1,0.010599607316638199
57,sub-08,ses-01,run-01,task-tp,tsCAP2,0.02372565717838472
58,sub-08,ses-01,run-01,task-tp,tsCAP3,-0.14874221738631682
59,sub-08,ses-01,run-01,task-tp,tsCAP4,-0.11712932926216929
60,sub-08,ses-01,run-01,task-tp,tsCAP5,0.051775371611768595
61,sub-08,ses-01,run-01,task-tp,tsCAP6,0.07833739697591555
62,sub-08,ses-01,run-01,task-tp,tsCAP7,0.35857787231599986
63,sub-08,ses-01,run-01,task-tp,tsCAP8,0.38512746406857085
64,sub-09,ses-01,run-01,task-tp,tsCAP1,0.3400452675522237
65,sub-09,ses-01,run-01,task-tp,tsCAP2,0.27867085480289133
66,sub-09,ses-01,run-01,task-tp,tsCAP3,0.021590111863862133
67,sub-09,ses-01,run-01,task-tp,tsCAP4,0.038758609832050185
68,sub-09,ses-01,run-01,task-tp,tsCAP5,0.3289117487089236
69,sub-09,ses-01,run-01,task-tp,tsCAP6,0.3197303086770376
70,sub-09,ses-01,run-01,task-tp,tsCAP7,0.3005646948213643
71,sub-09,ses-01,run-01,task-tp,tsCAP8,0.30164242058996465
72,sub-13,ses-01,run-01,task-tp,tsCAP1,0.12197205008533336
73,sub-13,ses-01,run-01,task-tp,tsCAP2,0.12087644979880276
74,sub-13,ses-01,run-01,task-tp,tsCAP3,-0.044559667996449434
75,sub-13,ses-01,run-01,task-tp,tsCAP4,-0.05597737321480725
76,sub-13,ses-01,run-01,task-tp,tsCAP5,0.3471153923526206
77,sub-13,ses-01,run-01,task-tp,tsCAP6,0.355195408676395
78,sub-13,ses-01,run-01,task-tp,tsCAP7,0.3161835549552181
79,sub-13,ses-01,run-01,task-tp,tsCAP8,0.36244748155938183
80,sub-14,ses-01,run-01,task-tp,tsCAP1,0.0012487668550834122
81,sub-14,ses-01,run-01,task-tp,tsCAP2,-0.029787226374651813
82,sub-14,ses-01,run-01,task-tp,tsCAP3,-0.14698420941677268
83,sub-14,ses-01,run-01,task-tp,tsCAP4,-0.15447018652731428
84,sub-14,ses-01,run-01,task-tp,tsCAP5,0.07384951232962852
85,sub-14,ses-01,run-01,task-tp,tsCAP6,0.07337291748246633
86,sub-14,ses-01,run-01,task-tp,tsCAP7,0.42887430280101735
87,sub-14,ses-01,run-01,task-tp,tsCAP8,0.3767442393327787
88,sub-15,ses-01,run-01,task-tp,tsCAP1,-0.1485774154906998
89,sub-15,ses-01,run-01,task-tp,tsCAP2,-0.05079880632400518
90,sub-15,ses-01,run-01,task-tp,tsCAP3,0.19928137446529473
91,sub-15,ses-01,run-01,task-tp,tsCAP4,0.20936775365191357
92,sub-15,ses-01,run-01,task-tp,tsCAP5,0.2678322242774972
93,sub-15,ses-01,run-01,task-tp,tsCAP6,0.2890072261949556
94,sub-15,ses-01,run-01,task-tp,tsCAP7,0.4446514322151706
95,sub-15,ses-01,run-01,task-tp,tsCAP8,0.49212074553933755
96,sub-16,ses-01,run-01,task-tp,tsCAP1,0.2849512453610835
97,sub-16,ses-01,run-01,task-tp,tsCAP2,0.275221167280605
98,sub-16,ses-01,run-01,task-tp,tsCAP3,-0.1622443092427036
99,sub-16,ses-01,run-01,task-tp,tsCAP4,-0.10415599310839246
100,sub-16,ses-01,run-01,task-tp,tsCAP5,-0.004988958120022898
101,sub-16,ses-01,run-01,task-tp,tsCAP6,0.042933446513984654
102,sub-16,ses-01,run-01,task-tp,tsCAP7,0.26589998190181585
103,sub-16,ses-01,run-01,task-tp,tsCAP8,0.30103614353217484
104,sub-17,ses-01,run-01,task-tp,tsCAP1,0.013565996647540216
105,sub-17,ses-01,run-01,task-tp,tsCAP2,0.034051645742436014
106,sub-17,ses-01,run-01,task-tp,tsCAP3,0.12076948743040142
107,sub-17,ses-01,run-01,task-tp,tsCAP4,0.1412180658244441
108,sub-17,ses-01,run-01,task-tp,tsCAP5,-0.05236524968971838
109,sub-17,ses-01,run-01,task-tp,tsCAP6,-0.04066475507918359
110,sub-17,ses-01,run-01,task-tp,tsCAP7,0.19269899652443542
111,sub-17,ses-01,run-01,task-tp,tsCAP8,0.16418504781512613
112,sub-18,ses-01,run-01,task-tp,tsCAP1,-0.04408182486285222
113,sub-18,ses-01,run-01,task-tp,tsCAP2,-0.026621894727727018
114,sub-18,ses-01,run-01,task-tp,tsCAP3,0.07843907421386082
115,sub-18,ses-01,run-01,task-tp,tsCAP4,0.0835766359872218
116,sub-18,ses-01,run-01,task-tp,tsCAP5,0.22851558299539704
117,sub-18,ses-01,run-01,task-tp,tsCAP6,0.22243963275478176
118,sub-18,ses-01,run-01,task-tp,tsCAP7,0.3413399909730906
119,sub-18,ses-01,run-01,task-tp,tsCAP8,0.3346426267420724
120,sub-20,ses-01,run-01,task-tp,tsCAP1,-0.028630897487068527
121,sub-20,ses-01,run-01,task-tp,tsCAP2,0.0019734411829991183
122,sub-20,ses-01,run-01,task-tp,tsCAP3,-0.05082516494629167
123,sub-20,ses-01,run-01,task-tp,tsCAP4,-0.01089978740044417
124,sub-20,ses-01,run-01,task-tp,tsCAP5,0.1428032572128369
125,sub-20,ses-01,run-01,task-tp,tsCAP6,0.11098986025528843
126,sub-20,ses-01,run-01,task-tp,tsCAP7,0.28998113606015785
127,sub-20,ses-01,run-01,task-tp,tsCAP8,0.30394735071960033
128,sub-21,ses-01,run-01,task-tp,tsCAP1,-0.2060087589888499
129,sub-21,ses-01,run-01,task-tp,tsCAP2,-0.14227327253245944
130,sub-21,ses-01,run-01,task-tp,tsCAP3,0.06592680729737764
131,sub-21,ses-01,run-01,task-tp,tsCAP4,0.038978675100548865
132,sub-21,ses-01,run-01,task-tp,tsCAP5,0.3210619412865331
133,sub-21,ses-01,run-01,task-tp,tsCAP6,0.3283576937282926
134,sub-21,ses-01,run-01,task-tp,tsCAP7,0.2670782825467165
135,sub-21,ses-01,run-01,task-tp,tsCAP8,0.28637358248911543
136,sub-22,ses-01,run-01,task-tp,tsCAP1,-0.021948001896448948
137,sub-22,ses-01,run-01,task-tp,tsCAP2,0.013882908688011437
138,sub-22,ses-01,run-01,task-tp,tsCAP3,-0.03647068084026242
139,sub-22,ses-01,run-01,task-tp,tsCAP4,-0.05588704157183523
140,sub-22,ses-01,run-01,task-tp,tsCAP5,0.12901390902149557
141,sub-22,ses-01,run-01,task-tp,tsCAP6,0.1877769988439109
142,sub-22,ses-01,run-01,task-tp,tsCAP7,0.12103099746797959
143,sub-22,ses-01,run-01,task-tp,tsCAP8,0.15979326312178685
144,sub-10,ses-01,run-01,task-tp,tsCAP1,-0.0021001815300078523
145,sub-10,ses-01,run-01,task-tp,tsCAP2,-0.027534746315107547
146,sub-10,ses-01,run-01,task-tp,tsCAP3,0.001835452131342307
147,sub-10,ses-01,run-01,task-tp,tsCAP4,-0.02840344486589057
148,sub-10,ses-01,run-01,task-tp,tsCAP5,-0.013671726341151831
149,sub-10,ses-01,run-01,task-tp,tsCAP6,-0.02704549743731133
150,sub-10,ses-01,run-01,task-tp,tsCAP7,-0.10239882966214839
151,sub-10,ses-01,run-01,task-tp,tsCAP8,-0.08595666902773223
