,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-rest,tsCAP1,0.12607691378847555
1,sub-01,ses-01,run-01,task-rest,tsCAP2,0.10980486071088331
2,sub-01,ses-01,run-01,task-rest,tsCAP3,-0.21915299525059959
3,sub-01,ses-01,run-01,task-rest,tsCAP4,-0.18845640797259408
4,sub-01,ses-01,run-01,task-rest,tsCAP5,0.21769432107245643
5,sub-01,ses-01,run-01,task-rest,tsCAP6,0.24297224673910145
6,sub-01,ses-01,run-01,task-rest,tsCAP7,0.05687127150808965
7,sub-01,ses-01,run-01,task-rest,tsCAP8,0.10076830171087459
8,sub-02,ses-01,run-01,task-rest,tsCAP1,0.2303920694653778
9,sub-02,ses-01,run-01,task-rest,tsCAP2,0.258920673069444
10,sub-02,ses-01,run-01,task-rest,tsCAP3,0.011921406676709786
11,sub-02,ses-01,run-01,task-rest,tsCAP4,0.015280131248410865
12,sub-02,ses-01,run-01,task-rest,tsCAP5,0.42787361597370804
13,sub-02,ses-01,run-01,task-rest,tsCAP6,0.4312697230389031
14,sub-02,ses-01,run-01,task-rest,tsCAP7,0.25184728256230915
15,sub-02,ses-01,run-01,task-rest,tsCAP8,0.2879280363481422
16,sub-03,ses-01,run-01,task-rest,tsCAP1,0.15935502981582997
17,sub-03,ses-01,run-01,task-rest,tsCAP2,-0.6007128256930736
18,sub-03,ses-01,run-01,task-rest,tsCAP3,0.22803501260666567
19,sub-03,ses-01,run-01,task-rest,tsCAP4,0.13539309001129807
20,sub-03,ses-01,run-01,task-rest,tsCAP5,0.9838397950740971
21,sub-03,ses-01,run-01,task-rest,tsCAP6,0.9790322796791038
22,sub-03,ses-01,run-01,task-rest,tsCAP7,0.443381012084947
23,sub-03,ses-01,run-01,task-rest,tsCAP8,0.12801365229808095
24,sub-04,ses-01,run-01,task-rest,tsCAP1,0.14627101456347677
25,sub-04,ses-02,run-01,task-rest,tsCAP1,0.16551869930954388
26,sub-04,ses-01,run-01,task-rest,tsCAP2,0.12348225598574142
27,sub-04,ses-02,run-01,task-rest,tsCAP2,0.1879219051299103
28,sub-04,ses-01,run-01,task-rest,tsCAP3,-0.04775465760021234
29,sub-04,ses-02,run-01,task-rest,tsCAP3,0.029735953494763243
30,sub-04,ses-01,run-01,task-rest,tsCAP4,-0.047588791355267245
31,sub-04,ses-02,run-01,task-rest,tsCAP4,0.03034284711509086
32,sub-04,ses-01,run-01,task-rest,tsCAP5,0.17114352189252732
33,sub-04,ses-02,run-01,task-rest,tsCAP5,0.18572553634068062
34,sub-04,ses-01,run-01,task-rest,tsCAP6,0.18107518366701528
35,sub-04,ses-02,run-01,task-rest,tsCAP6,0.18988391612618158
36,sub-04,ses-01,run-01,task-rest,tsCAP7,0.0645849363321611
37,sub-04,ses-02,run-01,task-rest,tsCAP7,0.1261907703017579
38,sub-04,ses-01,run-01,task-rest,tsCAP8,0.06786963653316629
39,sub-04,ses-02,run-01,task-rest,tsCAP8,0.12436118182740462
40,sub-05,ses-01,run-01,task-rest,tsCAP1,-0.12932539547133567
41,sub-05,ses-02,run-01,task-rest,tsCAP1,-0.05022057601190153
42,sub-05,ses-01,run-01,task-rest,tsCAP2,-0.08759210985968875
43,sub-05,ses-02,run-01,task-rest,tsCAP2,-0.1424363155228862
44,sub-05,ses-01,run-01,task-rest,tsCAP3,-0.38718553683501683
45,sub-05,ses-02,run-01,task-rest,tsCAP3,-0.07480475173449211
46,sub-05,ses-01,run-01,task-rest,tsCAP4,-0.374309637826447
47,sub-05,ses-02,run-01,task-rest,tsCAP4,-0.018359644891849037
48,sub-05,ses-01,run-01,task-rest,tsCAP5,0.13758537774476054
49,sub-05,ses-02,run-01,task-rest,tsCAP5,0.038545247664619864
50,sub-05,ses-01,run-01,task-rest,tsCAP6,0.08855396783281817
51,sub-05,ses-02,run-01,task-rest,tsCAP6,0.03589357065164109
52,sub-05,ses-01,run-01,task-rest,tsCAP7,0.3058257779551241
53,sub-05,ses-02,run-01,task-rest,tsCAP7,-0.0353658710824291
54,sub-05,ses-01,run-01,task-rest,tsCAP8,0.3132281262635243
55,sub-05,ses-02,run-01,task-rest,tsCAP8,-0.05678177265634876
56,sub-06,ses-01,run-01,task-rest,tsCAP1,0.05004850081607674
57,sub-06,ses-02,run-01,task-rest,tsCAP1,0.08034727323011595
58,sub-06,ses-01,run-01,task-rest,tsCAP2,0.02304944750516776
59,sub-06,ses-02,run-01,task-rest,tsCAP2,0.04355337532166417
60,sub-06,ses-01,run-01,task-rest,tsCAP3,0.14176427175971076
61,sub-06,ses-02,run-01,task-rest,tsCAP3,0.021864501394606755
62,sub-06,ses-01,run-01,task-rest,tsCAP4,0.11213109680484976
63,sub-06,ses-02,run-01,task-rest,tsCAP4,0.03298157129364968
64,sub-06,ses-01,run-01,task-rest,tsCAP5,0.4042543486346827
65,sub-06,ses-02,run-01,task-rest,tsCAP5,0.29640414491229367
66,sub-06,ses-01,run-01,task-rest,tsCAP6,0.4146199384594128
67,sub-06,ses-02,run-01,task-rest,tsCAP6,0.29327249111596776
68,sub-06,ses-01,run-01,task-rest,tsCAP7,0.1198880982191136
69,sub-06,ses-02,run-01,task-rest,tsCAP7,0.1909420885453081
70,sub-06,ses-01,run-01,task-rest,tsCAP8,0.15628488590016912
71,sub-06,ses-02,run-01,task-rest,tsCAP8,0.2084340405915469
72,sub-07,ses-01,run-01,task-rest,tsCAP1,0.038553207911760326
73,sub-07,ses-02,run-01,task-rest,tsCAP1,0.258573502454103
74,sub-07,ses-01,run-01,task-rest,tsCAP2,0.029216628631463792
