subject,session,task,caps_ts_file,eeg_proc_data_dir,eyetrack_data_dir
01,01,checker_run-01,True,True,True
01,01,checker_run-02,True,False,False
01,01,rest_run-01,True,True,True
01,01,rest_run-02,True,False,False
01,02,checker_run-01,False,False,False
01,02,checker_run-02,False,False,False
01,02,rest_run-01,False,False,False
01,02,rest_run-02,False,False,False
02,01,checker_run-01,True,True,True
02,01,checker_run-02,True,False,False
02,01,rest_run-01,True,True,True
02,01,rest_run-02,True,False,False
02,02,checker_run-01,False,False,False
02,02,checker_run-02,False,False,False
02,02,rest_run-01,False,False,False
02,02,rest_run-02,False,False,False
03,01,checker_run-01,True,True,True
03,01,checker_run-02,True,False,False
03,01,rest_run-01,False,True,True
03,01,rest_run-02,False,False,False
03,02,checker_run-01,False,False,False
03,02,checker_run-02,False,False,False
03,02,rest_run-01,False,False,False
03,02,rest_run-02,False,False,False
04,01,checker_run-01,True,False,False
04,01,checker_run-02,True,False,False
04,01,rest_run-01,True,True,True
04,01,rest_run-02,True,False,False
04,02,checker_run-01,True,False,False
04,02,checker_run-02,True,False,False
04,02,rest_run-01,True,True,True
04,02,rest_run-02,True,False,False
05,01,checker_run-01,False,True,True
05,01,checker_run-02,False,False,False
05,01,rest_run-01,False,False,True
05,01,rest_run-02,False,False,False
05,02,checker_run-01,True,True,True
05,02,checker_run-02,True,False,False
05,02,rest_run-01,False,True,True
05,02,rest_run-02,False,False,False
06,01,checker_run-01,True,True,True
06,01,checker_run-02,True,False,False
06,01,rest_run-01,True,True,True
06,01,rest_run-02,True,False,False
06,02,checker_run-01,True,True,True
06,02,checker_run-02,True,False,False
06,02,rest_run-01,True,True,True
06,02,rest_run-02,True,False,False
07,01,checker_run-01,True,True,True
07,01,checker_run-02,True,False,False
07,01,rest_run-01,True,True,True
07,01,rest_run-02,True,False,False
07,02,checker_run-01,True,True,True
07,02,checker_run-02,True,False,False
07,02,rest_run-01,True,True,True
07,02,rest_run-02,True,False,False
08,01,checker_run-01,True,True,True
08,01,checker_run-02,True,False,False
08,01,rest_run-01,True,True,True
08,01,rest_run-02,True,False,False
08,02,checker_run-01,True,True,True
08,02,checker_run-02,True,False,False
08,02,rest_run-01,True,True,True
08,02,rest_run-02,True,False,False
09,01,checker_run-01,True,True,True
09,01,checker_run-02,True,False,False
09,01,rest_run-01,True,True,True
09,01,rest_run-02,True,False,False
09,02,checker_run-01,False,False,False
09,02,checker_run-02,False,False,False
09,02,rest_run-01,False,False,False
09,02,rest_run-02,False,False,False
10,01,checker_run-01,False,True,True
10,01,checker_run-02,False,False,False
10,01,rest_run-01,False,True,True
10,01,rest_run-02,False,False,False
10,02,checker_run-01,False,True,True
10,02,checker_run-02,False,False,False
10,02,rest_run-01,False,True,True
10,02,rest_run-02,False,False,False
11,01,checker_run-01,True,True,True
11,01,checker_run-02,True,False,False
11,01,rest_run-01,False,True,True
11,01,rest_run-02,False,False,False
11,02,checker_run-01,True,True,True
11,02,checker_run-02,True,False,False
11,02,rest_run-01,True,True,True
11,02,rest_run-02,True,False,False
12,01,checker_run-01,True,True,True
12,01,checker_run-02,True,False,False
12,01,rest_run-01,True,True,True
12,01,rest_run-02,True,False,False
12,02,checker_run-01,True,True,True
12,02,checker_run-02,True,False,False
12,02,rest_run-01,True,True,True
12,02,rest_run-02,True,False,False
13,01,checker_run-01,True,True,True
13,01,checker_run-02,True,False,False
13,01,rest_run-01,True,True,True
13,01,rest_run-02,True,False,False
13,02,checker_run-01,True,True,True
13,02,checker_run-02,True,False,False
13,02,rest_run-01,True,True,True
13,02,rest_run-02,True,False,False
14,01,checker_run-01,True,True,True
14,01,checker_run-02,True,False,False
14,01,rest_run-01,True,True,True
14,01,rest_run-02,True,False,False
14,02,checker_run-01,True,True,True
14,02,checker_run-02,True,False,False
14,02,rest_run-01,True,True,True
14,02,rest_run-02,True,False,False
15,01,checker_run-01,True,True,True
15,01,checker_run-02,True,False,False
15,01,rest_run-01,True,True,True
15,01,rest_run-02,True,False,False
15,02,checker_run-01,True,True,True
15,02,checker_run-02,True,False,False
15,02,rest_run-01,True,True,True
15,02,rest_run-02,True,False,False
16,01,checker_run-01,True,True,False
16,01,checker_run-02,True,False,False
16,01,rest_run-01,True,True,True
16,01,rest_run-02,True,False,False
16,02,checker_run-01,True,True,True
16,02,checker_run-02,True,False,False
16,02,rest_run-01,True,True,True
16,02,rest_run-02,True,False,False
17,01,checker_run-01,True,False,True
17,01,checker_run-02,True,False,False
17,01,rest_run-01,True,False,True
17,01,rest_run-02,True,False,False
17,02,checker_run-01,True,False,True
17,02,checker_run-02,True,False,False
17,02,rest_run-01,True,False,True
17,02,rest_run-02,True,False,False
18,01,checker_run-01,True,True,True
18,01,checker_run-02,True,False,False
18,01,rest_run-01,True,True,True
18,01,rest_run-02,True,False,False
18,02,checker_run-01,False,False,False
18,02,checker_run-02,False,False,False
18,02,rest_run-01,False,False,False
18,02,rest_run-02,False,False,False
19,01,checker_run-01,False,True,True
19,01,checker_run-02,False,False,False
19,01,rest_run-01,False,True,True
19,01,rest_run-02,False,False,False
19,02,checker_run-01,False,True,True
19,02,checker_run-02,False,False,False
19,02,rest_run-01,False,True,True
19,02,rest_run-02,False,False,False
20,01,checker_run-01,True,True,True
20,01,checker_run-02,True,False,False
20,01,rest_run-01,True,True,True
20,01,rest_run-02,True,False,False
20,02,checker_run-01,True,True,True
20,02,checker_run-02,True,False,False
20,02,rest_run-01,True,True,True
20,02,rest_run-02,True,False,False
21,01,checker_run-01,True,True,True
21,01,checker_run-02,True,False,False
21,01,rest_run-01,True,True,True
21,01,rest_run-02,True,False,False
21,02,checker_run-01,True,False,True
21,02,checker_run-02,True,False,False
21,02,rest_run-01,True,True,True
21,02,rest_run-02,True,False,False
22,01,checker_run-01,True,True,True
22,01,checker_run-02,True,False,False
22,01,rest_run-01,True,True,True
22,01,rest_run-02,True,False,False
22,02,checker_run-01,True,True,True
22,02,checker_run-02,True,False,False
22,02,rest_run-01,True,True,True
22,02,rest_run-02,True,False,False
