,iteration,subject,session,run,task,ts_CAPS,pearson_r
0,1,sub-01,ses-01,run-01,task-checker,tsCAP1,0.0823740134719008
1,1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.029208377779408753
2,1,sub-01,ses-01,run-01,task-checker,tsCAP3,0.2306960010217986
3,1,sub-01,ses-01,run-01,task-checker,tsCAP4,0.03157343673420976
4,1,sub-01,ses-01,run-01,task-checker,tsCAP5,0.039805269372037565
5,1,sub-01,ses-01,run-01,task-checker,tsCAP6,0.07147709306487014
6,1,sub-01,ses-01,run-01,task-checker,tsCAP7,0.30746271334469205
7,1,sub-01,ses-01,run-01,task-checker,tsCAP8,0.11282329979736858
8,2,sub-01,ses-01,run-01,task-checker,tsCAP1,0.43068381696718083
9,2,sub-01,ses-01,run-01,task-checker,tsCAP2,0.4441951727400947
10,2,sub-01,ses-01,run-01,task-checker,tsCAP3,-0.38424525512838387
11,2,sub-01,ses-01,run-01,task-checker,tsCAP4,-0.3631419179147551
12,2,sub-01,ses-01,run-01,task-checker,tsCAP5,0.22784070383168512
13,2,sub-01,ses-01,run-01,task-checker,tsCAP6,0.06687367976808817
14,2,sub-01,ses-01,run-01,task-checker,tsCAP7,0.07310568041080473
15,2,sub-01,ses-01,run-01,task-checker,tsCAP8,0.24254620498317678
16,3,sub-01,ses-01,run-01,task-checker,tsCAP1,0.525878613923547
17,3,sub-01,ses-01,run-01,task-checker,tsCAP2,0.44802734603262495
18,3,sub-01,ses-01,run-01,task-checker,tsCAP3,0.04552088027060448
19,3,sub-01,ses-01,run-01,task-checker,tsCAP4,-0.014129634380020132
20,3,sub-01,ses-01,run-01,task-checker,tsCAP5,-0.08637512849613896
21,3,sub-01,ses-01,run-01,task-checker,tsCAP6,0.12221927631507364
22,3,sub-01,ses-01,run-01,task-checker,tsCAP7,0.4889149941126452
23,3,sub-01,ses-01,run-01,task-checker,tsCAP8,-0.48569301171422224
24,4,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5476914238249607
25,4,sub-01,ses-01,run-01,task-checker,tsCAP2,0.46623100383996735
26,4,sub-01,ses-01,run-01,task-checker,tsCAP3,0.196873447418315
27,4,sub-01,ses-01,run-01,task-checker,tsCAP4,0.02130472100636843
28,4,sub-01,ses-01,run-01,task-checker,tsCAP5,-0.20535062814071764
29,4,sub-01,ses-01,run-01,task-checker,tsCAP6,-0.2738293246248002
30,4,sub-01,ses-01,run-01,task-checker,tsCAP7,0.014727774708518224
31,4,sub-01,ses-01,run-01,task-checker,tsCAP8,0.2810610397712218
32,5,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5282335710251979
33,5,sub-01,ses-01,run-01,task-checker,tsCAP2,0.4600764269892296
34,5,sub-01,ses-01,run-01,task-checker,tsCAP3,0.3814670574407593
35,5,sub-01,ses-01,run-01,task-checker,tsCAP4,0.1564626804115394
36,5,sub-01,ses-01,run-01,task-checker,tsCAP5,0.20535159226444755
37,5,sub-01,ses-01,run-01,task-checker,tsCAP6,0.18970244351652274
38,5,sub-01,ses-01,run-01,task-checker,tsCAP7,0.29440436311424995
39,5,sub-01,ses-01,run-01,task-checker,tsCAP8,0.22478003145904332
40,6,sub-01,ses-01,run-01,task-checker,tsCAP1,0.07690415122219665
41,6,sub-01,ses-01,run-01,task-checker,tsCAP2,0.3079562693298121
42,6,sub-01,ses-01,run-01,task-checker,tsCAP3,0.2637586356562773
43,6,sub-01,ses-01,run-01,task-checker,tsCAP4,0.18857320403432584
44,6,sub-01,ses-01,run-01,task-checker,tsCAP5,0.15590954283701777
45,6,sub-01,ses-01,run-01,task-checker,tsCAP6,0.2615368159005184
46,6,sub-01,ses-01,run-01,task-checker,tsCAP7,0.2772954846282367
47,6,sub-01,ses-01,run-01,task-checker,tsCAP8,0.24016616757825587
48,7,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5109859802798963
49,7,sub-01,ses-01,run-01,task-checker,tsCAP2,0.40661162380178917
50,7,sub-01,ses-01,run-01,task-checker,tsCAP3,0.0504543019162124
51,7,sub-01,ses-01,run-01,task-checker,tsCAP4,0.12710137896813162
52,7,sub-01,ses-01,run-01,task-checker,tsCAP5,-0.03664462827088859
53,7,sub-01,ses-01,run-01,task-checker,tsCAP6,0.036927416136524935
54,7,sub-01,ses-01,run-01,task-checker,tsCAP7,-0.0651870846444709
55,7,sub-01,ses-01,run-01,task-checker,tsCAP8,-0.025309393794023208
56,8,sub-01,ses-01,run-01,task-checker,tsCAP1,0.44195749080553043
57,8,sub-01,ses-01,run-01,task-checker,tsCAP2,0.46673915619410816
58,8,sub-01,ses-01,run-01,task-checker,tsCAP3,0.3378621717125299
59,8,sub-01,ses-01,run-01,task-checker,tsCAP4,0.30106946813939434
60,8,sub-01,ses-01,run-01,task-checker,tsCAP5,0.009162241636014548
61,8,sub-01,ses-01,run-01,task-checker,tsCAP6,-0.039316364181034645
62,8,sub-01,ses-01,run-01,task-checker,tsCAP7,-0.09914430525144345
63,8,sub-01,ses-01,run-01,task-checker,tsCAP8,0.20800523422298534
64,9,sub-01,ses-01,run-01,task-checker,tsCAP1,0.036306415811360286
65,9,sub-01,ses-01,run-01,task-checker,tsCAP2,-0.008212798275275745
66,9,sub-01,ses-01,run-01,task-checker,tsCAP3,0.18142689197560347
67,9,sub-01,ses-01,run-01,task-checker,tsCAP4,-0.22363291097874
