,subject,session,run,task,ts_CAPS,pearson_r
0,sub-01,ses-01,run-01,task-checker,tsCAP1,0.44179979613529274
1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.4017481333331409
2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.479516392325306
3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.46303199861449024
4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.46738661865042214
5,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4742164109741604
6,sub-01,ses-01,run-01,task-checker,tsCAP7,0.12780548505632083
7,sub-01,ses-01,run-01,task-checker,tsCAP8,0.12856104040486674
8,sub-01,ses-01,run-01,task-checker,tsCAP1,0.6400081243838164
9,sub-01,ses-01,run-01,task-checker,tsCAP2,0.6140790496799142
10,sub-01,ses-01,run-01,task-checker,tsCAP3,0.41803427228606643
11,sub-01,ses-01,run-01,task-checker,tsCAP4,0.38100149943646977
12,sub-01,ses-01,run-01,task-checker,tsCAP5,0.33795417814513445
13,sub-01,ses-01,run-01,task-checker,tsCAP6,0.30324901647807795
14,sub-01,ses-01,run-01,task-checker,tsCAP7,0.15117934198371044
15,sub-01,ses-01,run-01,task-checker,tsCAP8,0.1677627319913482
16,sub-01,ses-01,run-01,task-checker,tsCAP1,0.6241563894892844
17,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5733917817562322
18,sub-01,ses-01,run-01,task-checker,tsCAP3,0.47052349357379875
19,sub-01,ses-01,run-01,task-checker,tsCAP4,0.44868489794276545
20,sub-01,ses-01,run-01,task-checker,tsCAP5,0.46135845809003145
21,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4661538732249498
22,sub-01,ses-01,run-01,task-checker,tsCAP7,0.21190895842963464
23,sub-01,ses-01,run-01,task-checker,tsCAP8,0.17558244596960632
24,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5794939871769038
25,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5730005901215119
26,sub-01,ses-01,run-01,task-checker,tsCAP3,0.4747219732295517
27,sub-01,ses-01,run-01,task-checker,tsCAP4,0.4382196126984458
28,sub-01,ses-01,run-01,task-checker,tsCAP5,0.4773095238959982
29,sub-01,ses-01,run-01,task-checker,tsCAP6,0.47450129594236734
30,sub-01,ses-01,run-01,task-checker,tsCAP7,0.09881330498796963
31,sub-01,ses-01,run-01,task-checker,tsCAP8,0.12230353465970642
32,sub-01,ses-01,run-01,task-checker,tsCAP1,0.6061818056278189
33,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5989572525134889
34,sub-01,ses-01,run-01,task-checker,tsCAP3,0.48927481365105796
35,sub-01,ses-01,run-01,task-checker,tsCAP4,0.45910045705696106
36,sub-01,ses-01,run-01,task-checker,tsCAP5,0.44432294247773846
