,iteration,subject,session,run,task,ts_CAPS,pearson_r
0,1,sub-01,ses-01,run-01,task-rest,tsCAP1,0.18292039585341524
1,1,sub-01,ses-01,run-01,task-rest,tsCAP2,0.1830113182889549
2,1,sub-01,ses-01,run-01,task-rest,tsCAP3,0.1784242649777568
3,1,sub-01,ses-01,run-01,task-rest,tsCAP4,0.17364312651897337
4,1,sub-01,ses-01,run-01,task-rest,tsCAP5,0.40822519906100985
5,1,sub-01,ses-01,run-01,task-rest,tsCAP6,0.43887264100380774
6,1,sub-01,ses-01,run-01,task-rest,tsCAP7,0.17890137815737833
7,1,sub-01,ses-01,run-01,task-rest,tsCAP8,0.22688385577372835
8,2,sub-01,ses-01,run-01,task-rest,tsCAP1,0.2025700270739073
9,2,sub-01,ses-01,run-01,task-rest,tsCAP2,0.19299497522997636
10,2,sub-01,ses-01,run-01,task-rest,tsCAP3,0.14872062546149709
11,2,sub-01,ses-01,run-01,task-rest,tsCAP4,0.1344590269753943
12,2,sub-01,ses-01,run-01,task-rest,tsCAP5,0.32140567900368755
13,2,sub-01,ses-01,run-01,task-rest,tsCAP6,0.3385145460140598
14,2,sub-01,ses-01,run-01,task-rest,tsCAP7,0.23591622815339344
15,2,sub-01,ses-01,run-01,task-rest,tsCAP8,0.2502644082348783
16,3,sub-01,ses-01,run-01,task-rest,tsCAP1,0.220420434689397
17,3,sub-01,ses-01,run-01,task-rest,tsCAP2,0.20186634351147517
18,3,sub-01,ses-01,run-01,task-rest,tsCAP3,0.17474574842446844
19,3,sub-01,ses-01,run-01,task-rest,tsCAP4,0.1818098580679837
20,3,sub-01,ses-01,run-01,task-rest,tsCAP5,0.41317788533405486
21,3,sub-01,ses-01,run-01,task-rest,tsCAP6,0.44559636236219374
22,3,sub-01,ses-01,run-01,task-rest,tsCAP7,0.18494390991874118
23,3,sub-01,ses-01,run-01,task-rest,tsCAP8,0.25420422393738856
24,4,sub-01,ses-01,run-01,task-rest,tsCAP1,0.21705207514331232
25,4,sub-01,ses-01,run-01,task-rest,tsCAP2,0.1998315067081134
26,4,sub-01,ses-01,run-01,task-rest,tsCAP3,0.19634012705853907
27,4,sub-01,ses-01,run-01,task-rest,tsCAP4,0.1940998501640763
28,4,sub-01,ses-01,run-01,task-rest,tsCAP5,0.3983814477051359
29,4,sub-01,ses-01,run-01,task-rest,tsCAP6,0.4259365918712402
30,4,sub-01,ses-01,run-01,task-rest,tsCAP7,0.24700279841775874
31,4,sub-01,ses-01,run-01,task-rest,tsCAP8,0.30437519652350786
32,5,sub-01,ses-01,run-01,task-rest,tsCAP1,0.19840247739740904
33,5,sub-01,ses-01,run-01,task-rest,tsCAP2,0.18877382586182914
34,5,sub-01,ses-01,run-01,task-rest,tsCAP3,0.21593381741747678
35,5,sub-01,ses-01,run-01,task-rest,tsCAP4,0.20497842775284913
36,5,sub-01,ses-01,run-01,task-rest,tsCAP5,0.46529023256662955
37,5,sub-01,ses-01,run-01,task-rest,tsCAP6,0.48510089188340927
38,5,sub-01,ses-01,run-01,task-rest,tsCAP7,0.40315367340033514
39,5,sub-01,ses-01,run-01,task-rest,tsCAP8,0.43446584388425263
40,6,sub-01,ses-01,run-01,task-rest,tsCAP1,0.20647225866601615
41,6,sub-01,ses-01,run-01,task-rest,tsCAP2,0.18672774887577076
42,6,sub-01,ses-01,run-01,task-rest,tsCAP3,0.20321301716476545
43,6,sub-01,ses-01,run-01,task-rest,tsCAP4,0.20064413672238954
44,6,sub-01,ses-01,run-01,task-rest,tsCAP5,0.4067609081193628
45,6,sub-01,ses-01,run-01,task-rest,tsCAP6,0.41201447002820046
46,6,sub-01,ses-01,run-01,task-rest,tsCAP7,0.3159421524118295
47,6,sub-01,ses-01,run-01,task-rest,tsCAP8,0.33560699317615467
48,7,sub-01,ses-01,run-01,task-rest,tsCAP1,0.22031041633344423
49,7,sub-01,ses-01,run-01,task-rest,tsCAP2,0.18871562586969215
50,7,sub-01,ses-01,run-01,task-rest,tsCAP3,0.1701905651245547
51,7,sub-01,ses-01,run-01,task-rest,tsCAP4,0.16334835694804414
52,7,sub-01,ses-01,run-01,task-rest,tsCAP5,0.33356364726804555
53,7,sub-01,ses-01,run-01,task-rest,tsCAP6,0.360113201013244
54,7,sub-01,ses-01,run-01,task-rest,tsCAP7,0.234600112691561
55,7,sub-01,ses-01,run-01,task-rest,tsCAP8,0.30633199809890876
56,8,sub-01,ses-01,run-01,task-rest,tsCAP1,0.1777654866177103
57,8,sub-01,ses-01,run-01,task-rest,tsCAP2,0.1794353914384755
58,8,sub-01,ses-01,run-01,task-rest,tsCAP3,0.1869474371136005
59,8,sub-01,ses-01,run-01,task-rest,tsCAP4,0.1859017030294142
60,8,sub-01,ses-01,run-01,task-rest,tsCAP5,0.4249760205992516
61,8,sub-01,ses-01,run-01,task-rest,tsCAP6,0.4633146933202297
62,8,sub-01,ses-01,run-01,task-rest,tsCAP7,0.2955604514333699
63,8,sub-01,ses-01,run-01,task-rest,tsCAP8,0.3522924176989114
64,9,sub-01,ses-01,run-01,task-rest,tsCAP1,0.20718055420195597
65,9,sub-01,ses-01,run-01,task-rest,tsCAP2,0.19781256889376256
66,9,sub-01,ses-01,run-01,task-rest,tsCAP3,0.18371382651906876
67,9,sub-01,ses-01,run-01,task-rest,tsCAP4,0.17279975659767655
68,9,sub-01,ses-01,run-01,task-rest,tsCAP5,0.39658797355993414
69,9,sub-01,ses-01,run-01,task-rest,tsCAP6,0.427925503600706
70,9,sub-01,ses-01,run-01,task-rest,tsCAP7,0.2581146871749433
71,9,sub-01,ses-01,run-01,task-rest,tsCAP8,0.3070980916526229
72,10,sub-01,ses-01,run-01,task-rest,tsCAP1,0.16833764009264388
73,10,sub-01,ses-01,run-01,task-rest,tsCAP2,0.16186749814591844
74,10,sub-01,ses-01,run-01,task-rest,tsCAP3,-0.025458638005785073
75,10,sub-01,ses-01,run-01,task-rest,tsCAP4,0.031232209182239394
76,10,sub-01,ses-01,run-01,task-rest,tsCAP5,0.4527703356493924
77,10,sub-01,ses-01,run-01,task-rest,tsCAP6,0.4756632990705144
78,10,sub-01,ses-01,run-01,task-rest,tsCAP7,0.21153074862540436
79,10,sub-01,ses-01,run-01,task-rest,tsCAP8,0.27756518039076117
80,1,sub-02,ses-01,run-01,task-rest,tsCAP1,0.38505633311819987
81,1,sub-02,ses-01,run-01,task-rest,tsCAP2,0.4243213715939374
82,1,sub-02,ses-01,run-01,task-rest,tsCAP3,0.03866312617955489
83,1,sub-02,ses-01,run-01,task-rest,tsCAP4,0.022472146308608734
84,1,sub-02,ses-01,run-01,task-rest,tsCAP5,0.40833820104660884
85,1,sub-02,ses-01,run-01,task-rest,tsCAP6,0.40936560159036184
86,1,sub-02,ses-01,run-01,task-rest,tsCAP7,0.26713136768194456
87,1,sub-02,ses-01,run-01,task-rest,tsCAP8,0.30024661916150525
88,2,sub-02,ses-01,run-01,task-rest,tsCAP1,0.32519253794120695
89,2,sub-02,ses-01,run-01,task-rest,tsCAP2,0.36623590146571455
90,2,sub-02,ses-01,run-01,task-rest,tsCAP3,0.03138314336924164
91,2,sub-02,ses-01,run-01,task-rest,tsCAP4,0.014341916296463817
92,2,sub-02,ses-01,run-01,task-rest,tsCAP5,0.4253868436399254
93,2,sub-02,ses-01,run-01,task-rest,tsCAP6,0.42845669881709775
94,2,sub-02,ses-01,run-01,task-rest,tsCAP7,0.26894182641572656
95,2,sub-02,ses-01,run-01,task-rest,tsCAP8,0.3024919732810765
96,3,sub-02,ses-01,run-01,task-rest,tsCAP1,0.38612318985005006
97,3,sub-02,ses-01,run-01,task-rest,tsCAP2,0.4265439038097394
98,3,sub-02,ses-01,run-01,task-rest,tsCAP3,0.042803415086067755
99,3,sub-02,ses-01,run-01,task-rest,tsCAP4,0.02578912873357276
100,3,sub-02,ses-01,run-01,task-rest,tsCAP5,0.41604362555087965
101,3,sub-02,ses-01,run-01,task-rest,tsCAP6,0.41756891819727865
102,3,sub-02,ses-01,run-01,task-rest,tsCAP7,0.26956757012978666
103,3,sub-02,ses-01,run-01,task-rest,tsCAP8,0.3030900193476732
104,4,sub-02,ses-01,run-01,task-rest,tsCAP1,0.10505458228420454
105,4,sub-02,ses-01,run-01,task-rest,tsCAP2,0.08969055114693984
106,4,sub-02,ses-01,run-01,task-rest,tsCAP3,-0.08475763753586574
107,4,sub-02,ses-01,run-01,task-rest,tsCAP4,-0.07608141553386417
108,4,sub-02,ses-01,run-01,task-rest,tsCAP5,0.41405742963232206
109,4,sub-02,ses-01,run-01,task-rest,tsCAP6,0.41581037506128804
110,4,sub-02,ses-01,run-01,task-rest,tsCAP7,0.24880783697003475
111,4,sub-02,ses-01,run-01,task-rest,tsCAP8,0.28523699362365984
112,5,sub-02,ses-01,run-01,task-rest,tsCAP1,0.2929147115262753
