,iteration,subject,session,run,task,ts_CAPS,pearson_r
0,1,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5603673603898909
1,1,sub-01,ses-01,run-01,task-checker,tsCAP2,0.47358594415816796
2,1,sub-01,ses-01,run-01,task-checker,tsCAP3,0.26405633374973836
3,1,sub-01,ses-01,run-01,task-checker,tsCAP4,0.2308472536154795
4,1,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5334656123846436
5,1,sub-01,ses-01,run-01,task-checker,tsCAP6,0.5162474248337633
6,1,sub-01,ses-01,run-01,task-checker,tsCAP7,0.1840818379078281
7,1,sub-01,ses-01,run-01,task-checker,tsCAP8,0.3636342831742074
8,2,sub-01,ses-01,run-01,task-checker,tsCAP1,0.46812595773760657
9,2,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5415814743796898
10,2,sub-01,ses-01,run-01,task-checker,tsCAP3,0.31330903216138806
11,2,sub-01,ses-01,run-01,task-checker,tsCAP4,0.24385738544442415
12,2,sub-01,ses-01,run-01,task-checker,tsCAP5,0.6070611357312923
13,2,sub-01,ses-01,run-01,task-checker,tsCAP6,0.6466149422942881
14,2,sub-01,ses-01,run-01,task-checker,tsCAP7,0.18728053448343027
15,2,sub-01,ses-01,run-01,task-checker,tsCAP8,0.17338889626133538
16,3,sub-01,ses-01,run-01,task-checker,tsCAP1,0.4910744343270888
17,3,sub-01,ses-01,run-01,task-checker,tsCAP2,0.5663039252633261
18,3,sub-01,ses-01,run-01,task-checker,tsCAP3,0.18598821489144846
19,3,sub-01,ses-01,run-01,task-checker,tsCAP4,0.32403183954190734
20,3,sub-01,ses-01,run-01,task-checker,tsCAP5,0.4685322047878408
21,3,sub-01,ses-01,run-01,task-checker,tsCAP6,0.43777528884639855
22,3,sub-01,ses-01,run-01,task-checker,tsCAP7,0.21782457606542505
23,3,sub-01,ses-01,run-01,task-checker,tsCAP8,0.2877921026254475
24,4,sub-01,ses-01,run-01,task-checker,tsCAP1,0.5377705886520604
25,4,sub-01,ses-01,run-01,task-checker,tsCAP2,0.3791993201493071
26,4,sub-01,ses-01,run-01,task-checker,tsCAP3,0.37249188385330123
27,4,sub-01,ses-01,run-01,task-checker,tsCAP4,0.23363318477712858
28,4,sub-01,ses-01,run-01,task-checker,tsCAP5,0.5715758216192819
29,4,sub-01,ses-01,run-01,task-checker,tsCAP6,0.5760671811424415
30,4,sub-01,ses-01,run-01,task-checker,tsCAP7,0.23725377826549382
31,4,sub-01,ses-01,run-01,task-checker,tsCAP8,0.4115782578496797
32,5,sub-01,ses-01,run-01,task-checker,tsCAP1,0.3820255405006076
33,5,sub-01,ses-01,run-01,task-checker,tsCAP2,0.3975513538998662
34,5,sub-01,ses-01,run-01,task-checker,tsCAP3,0.21869367794564737
35,5,sub-01,ses-01,run-01,task-checker,tsCAP4,0.08505612545486924
36,5,sub-01,ses-01,run-01,task-checker,tsCAP5,0.29574321306970625
