,iteration,subject,session,run,task,ts_CAPS,pearson_r,eye_features,eeg_features_channel,eeg_features_band
0,10,sub-01,ses-01,run-01,task-checker,tsCAP1,0.658180884590915,['pupil_dilation'],NA,NA
1,10,sub-01,ses-01,run-01,task-checker,tsCAP2,0.48223510429623584,['first_derivative'],NA,NA
2,10,sub-01,ses-01,run-01,task-checker,tsCAP3,0.23273418896073603,['second_derivative'],NA,NA
3,10,sub-01,ses-01,run-01,task-checker,tsCAP4,0.35465171266985596,['pupil_dilation'],NA,NA
4,10,sub-01,ses-01,run-01,task-checker,tsCAP5,0.203949340821996,['second_derivative'],NA,NA
5,10,sub-01,ses-01,run-01,task-checker,tsCAP6,0.4862576943609376,['pupil_dilation'],NA,NA
6,10,sub-01,ses-01,run-01,task-checker,tsCAP7,0.1323404587569098,['pupil_dilation'],NA,NA
7,10,sub-01,ses-01,run-01,task-checker,tsCAP8,0.13678873047055498,['pupil_dilation'],NA,NA
8,10,sub-02,ses-01,run-01,task-checker,tsCAP1,0.3656513075946031,['pupil_dilation'],NA,NA
9,10,sub-02,ses-01,run-01,task-checker,tsCAP2,0.3176243662626016,['first_derivative'],NA,NA
10,10,sub-02,ses-01,run-01,task-checker,tsCAP3,0.3047647792152927,['first_derivative'],NA,NA
11,10,sub-02,ses-01,run-01,task-checker,tsCAP4,0.41898963470886563,['pupil_dilation'],NA,NA
12,10,sub-02,ses-01,run-01,task-checker,tsCAP5,0.3204211107138669,['first_derivative'],NA,NA
13,10,sub-02,ses-01,run-01,task-checker,tsCAP6,0.2639035531824205,['second_derivative'],NA,NA
14,10,sub-02,ses-01,run-01,task-checker,tsCAP7,-0.04827117562180557,['pupil_dilation'],NA,NA
15,10,sub-02,ses-01,run-01,task-checker,tsCAP8,-0.07035881475965973,['first_derivative'],NA,NA
16,10,sub-03,ses-01,run-01,task-checker,tsCAP1,0.9600903213113944,['pupil_dilation'],NA,NA
17,10,sub-03,ses-01,run-01,task-checker,tsCAP2,0.8152799206545801,['first_derivative'],NA,NA
18,10,sub-03,ses-01,run-01,task-checker,tsCAP3,0.29246033265192956,['first_derivative'],NA,NA
19,10,sub-03,ses-01,run-01,task-checker,tsCAP4,-0.0028870594030503418,['pupil_dilation'],NA,NA
20,10,sub-03,ses-01,run-01,task-checker,tsCAP5,0.8091852663803194,['first_derivative'],NA,NA
21,10,sub-03,ses-01,run-01,task-checker,tsCAP6,0.6962650130034681,['second_derivative'],NA,NA
22,10,sub-03,ses-01,run-01,task-checker,tsCAP7,-0.9259931780897374,['pupil_dilation'],NA,NA
23,10,sub-03,ses-01,run-01,task-checker,tsCAP8,-0.958238831100579,['first_derivative'],NA,NA
24,10,sub-05,ses-02,run-01,task-checker,tsCAP1,0.05991113241694015,['pupil_dilation'],NA,NA
25,10,sub-05,ses-02,run-01,task-checker,tsCAP2,-0.30570811779492446,['first_derivative'],NA,NA
